"schoolid","location"
"0001-03-205","CORE CITIES"
"0001-03-209","CORE CITIES"
"0001-03-210","CORE CITIES"
"0001-03-211","CORE CITIES"
"0001-03-212","CORE CITIES"
"0001-03-213","CORE CITIES"
"0001-03-214","CORE CITIES"
"0001-03-215","CORE CITIES"
"0001-03-216","CORE CITIES"
"0001-03-225","CORE CITIES"
"0001-03-226","CORE CITIES"
"0001-03-229","CORE CITIES"
"0001-03-230","CORE CITIES"
"0001-03-231","CORE CITIES"
"0001-03-234","CORE CITIES"
"0001-03-238","CORE CITIES"
"0001-03-249","CORE CITIES"
"0001-03-256","CORE CITIES"
"0001-03-260","CORE CITIES"
"0001-03-266","CORE CITIES"
"0001-03-272","CORE CITIES"
"0001-03-280","CORE CITIES"
"0001-03-281","CORE CITIES"
"0001-03-282","CORE CITIES"
"0001-03-284","CORE CITIES"
"0001-03-287","CORE CITIES"
"0001-03-288","CORE CITIES"
"0001-03-289","CORE CITIES"
"0001-03-290","CORE CITIES"
"0001-03-291","CORE CITIES"
"0001-03-293","CORE CITIES"
"0001-03-380","CORE CITIES"
"0001-03-623","CORE CITIES"
"0001-03-702","CORE CITIES"
"0001-03-703","CORE CITIES"
"0001-03-704","CORE CITIES"
"0001-03-705","CORE CITIES"
"0001-03-706","CORE CITIES"
"0001-03-707","CORE CITIES"
"0001-03-710","CORE CITIES"
"0001-03-712","CORE CITIES"
"0001-03-714","CORE CITIES"
"0001-03-719","CORE CITIES"
"0001-03-721","CORE CITIES"
"0001-03-723","CORE CITIES"
"0001-03-724","CORE CITIES"
"0001-03-726","CORE CITIES"
"0001-03-729","CORE CITIES"
"0001-03-730","CORE CITIES"
"0001-03-731","CORE CITIES"
"0001-03-732","CORE CITIES"
"0001-03-734","CORE CITIES"
"0001-03-735","CORE CITIES"
"0001-03-736","CORE CITIES"
"0001-03-737","CORE CITIES"
"0001-03-738","CORE CITIES"
"0001-03-740","CORE CITIES"
"0001-03-744","CORE CITIES"
"0001-03-750","CORE CITIES"
"0001-03-752","CORE CITIES"
"0001-03-753","CORE CITIES"
"0001-03-755","CORE CITIES"
"0001-03-756","CORE CITIES"
"0001-03-758","CORE CITIES"
"0001-03-760","CORE CITIES"
"0001-03-762","CORE CITIES"
"0001-03-763","CORE CITIES"
"0001-03-764","CORE CITIES"
"0001-03-765","CORE CITIES"
"0001-03-766","CORE CITIES"
"0001-03-767","CORE CITIES"
"0001-03-769","CORE CITIES"
"0001-03-778","CORE CITIES"
"0001-03-779","CORE CITIES"
"0001-03-790","CORE CITIES"
"0001-03-791","CORE CITIES"
"0001-03-792","CORE CITIES"
"0001-03-794","CORE CITIES"
"0001-03-795","CORE CITIES"
"0001-03-796","CORE CITIES"
"0001-03-798","CORE CITIES"
"0001-03-799","CORE CITIES"
"0002-01-001","OUT STATE"
"0002-01-004","OUT STATE"
"0004-01-010","OUT STATE"
"0004-01-050","OUT STATE"
"0006-03-735","SUBURBS"
"0006-03-737","SUBURBS"
"0006-03-762","SUBURBS"
"0006-03-763","SUBURBS"
"0006-03-764","SUBURBS"
"0006-03-765","SUBURBS"
"0011-01-400","SUBURBS"
"0011-01-401","SUBURBS"
"0011-01-402","SUBURBS"
"0011-01-403","SUBURBS"
"0011-01-404","SUBURBS"
"0011-01-405","SUBURBS"
"0011-01-406","SUBURBS"
"0011-01-407","SUBURBS"
"0011-01-408","SUBURBS"
"0011-01-409","SUBURBS"
"0011-01-410","SUBURBS"
"0011-01-411","SUBURBS"
"0011-01-412","SUBURBS"
"0011-01-413","SUBURBS"
"0011-01-414","SUBURBS"
"0011-01-415","SUBURBS"
"0011-01-416","SUBURBS"
"0011-01-417","SUBURBS"
"0011-01-418","SUBURBS"
"0011-01-419","SUBURBS"
"0011-01-420","SUBURBS"
"0011-01-421","SUBURBS"
"0011-01-422","SUBURBS"
"0011-01-423","SUBURBS"
"0011-01-424","SUBURBS"
"0011-01-425","SUBURBS"
"0011-01-426","SUBURBS"
"0011-01-427","SUBURBS"
"0011-01-428","SUBURBS"
"0011-01-429","SUBURBS"
"0011-01-430","SUBURBS"
"0012-01-010","SUBURBS"
"0012-01-030","SUBURBS"
"0012-01-060","SUBURBS"
"0012-01-070","SUBURBS"
"0012-01-510","SUBURBS"
"0012-01-511","SUBURBS"
"0012-01-512","SUBURBS"
"0012-01-513","SUBURBS"
"0012-01-515","SUBURBS"
"0013-01-515","SUBURBS"
"0013-01-516","SUBURBS"
"0013-01-517","SUBURBS"
"0013-01-519","SUBURBS"
"0013-01-520","SUBURBS"
"0014-01-006","SUBURBS"
"0014-01-546","SUBURBS"
"0014-01-548","SUBURBS"
"0014-01-550","SUBURBS"
"0015-01-020","SUBURBS"
"0015-01-030","SUBURBS"
"0015-01-040","SUBURBS"
"0015-01-080","SUBURBS"
"0015-01-090","SUBURBS"
"0015-01-141","SUBURBS"
"0015-01-781","SUBURBS"
"0015-01-782","SUBURBS"
