"schoolid","location"
"0511-01-010","OUT STATE"
"0513-01-010",NA
"0514-01-010","OUT STATE"
"0516-01-010",NA
"0518-01-001","OUT STATE"
"0518-01-002","OUT STATE"
"0518-01-008","OUT STATE"
"0521-01-010","OUT STATE"
"0522-01-010","OUT STATE"
"0523-01-010","OUT STATE"
"0524-01-010","OUT STATE"
"0525-01-001","OUT STATE"
"0526-01-001","OUT STATE"
"0531-01-010","OUT STATE"
"0531-01-030","OUT STATE"
"0531-01-060","OUT STATE"
"0533-01-010","OUT STATE"
"0533-01-020","OUT STATE"
"0534-01-010","OUT STATE"
"0534-01-011","OUT STATE"
"0535-01-001","OUT STATE"
"0535-01-003","OUT STATE"
"0535-01-005","OUT STATE"
"0535-01-006","OUT STATE"
"0535-01-007","OUT STATE"
"0535-01-008","OUT STATE"
"0535-01-009","OUT STATE"
"0535-01-010","OUT STATE"
"0535-01-013","OUT STATE"
"0535-01-014","OUT STATE"
"0535-01-015","OUT STATE"
"0535-01-016","OUT STATE"
"0535-01-017","OUT STATE"
"0535-01-018","OUT STATE"
"0535-01-019","OUT STATE"
"0535-01-022","OUT STATE"
"0535-01-024","OUT STATE"
"0535-01-025","OUT STATE"
"0535-01-026","OUT STATE"
"0535-01-110","OUT STATE"
"0535-01-112","OUT STATE"
"0535-01-116","OUT STATE"
"0535-01-120","OUT STATE"
"0535-01-122","OUT STATE"
"0535-01-124","OUT STATE"
"0535-01-125","OUT STATE"
"0535-01-126","OUT STATE"
"0535-01-128","OUT STATE"
"0535-01-129","OUT STATE"
"0535-01-130","OUT STATE"
"0535-01-132","OUT STATE"
"0535-01-134","OUT STATE"
"0535-01-136","OUT STATE"
"0535-01-138","OUT STATE"
"0535-01-140","OUT STATE"
"0535-01-146","OUT STATE"
"0535-01-147","OUT STATE"
"0535-01-150","OUT STATE"
"0535-01-152","OUT STATE"
"0535-01-595","OUT STATE"
"0542-01-010","OUT STATE"
"0543-01-001","OUT STATE"
"0544-01-010","OUT STATE"
"0544-01-020","OUT STATE"
"0544-01-030","OUT STATE"
"0544-01-040","OUT STATE"
"0544-01-050","OUT STATE"
"0544-01-060","OUT STATE"
"0544-01-075","OUT STATE"
"0544-01-130","OUT STATE"
"0544-01-140","OUT STATE"
"0544-01-150","OUT STATE"
"0544-01-180","OUT STATE"
"0545-01-010","OUT STATE"
"0547-01-010","OUT STATE"
"0548-01-010","OUT STATE"
"0549-01-010","OUT STATE"
"0549-01-040","OUT STATE"
"0550-01-010","OUT STATE"
"0553-01-010","OUT STATE"
"0561-01-010","OUT STATE"
"0564-01-010","OUT STATE"
"0564-01-020","OUT STATE"
"0564-01-030","OUT STATE"
"0564-01-031","OUT STATE"
"0564-01-040","OUT STATE"
"0564-01-050","OUT STATE"
"0566-01-010","OUT STATE"
"0570-01-010","OUT STATE"
"0573-01-010","OUT STATE"
"0576-01-010","OUT STATE"
"0577-01-020","OUT STATE"
"0577-01-030","OUT STATE"
"0578-01-008","OUT STATE"
"0578-01-010","OUT STATE"
"0581-01-020","OUT STATE"
"0582-01-010","OUT STATE"
"0583-01-002","OUT STATE"
"0583-01-003","OUT STATE"
"0584-01-010",NA
"0592-01-010","OUT STATE"
"0593-01-010","OUT STATE"
"0593-01-020","OUT STATE"
"0593-01-050","OUT STATE"
"0593-01-080","OUT STATE"
"0595-01-010","OUT STATE"
"0595-01-020","OUT STATE"
"0595-01-030","OUT STATE"
"0595-01-110","OUT STATE"
"0595-01-120","OUT STATE"
"0595-01-130","OUT STATE"
"0597-01-010","OUT STATE"
"0599-01-010","OUT STATE"
"0600-01-001","OUT STATE"
"0601-01-010","OUT STATE"
"0603-01-010","OUT STATE"
"0603-01-030","OUT STATE"
"0604-01-010","OUT STATE"
"0611-01-010",NA
"0612-01-010","OUT STATE"
"0612-01-030","OUT STATE"
"0612-01-040","OUT STATE"
"0614-01-001","OUT STATE"
"0615-01-001","OUT STATE"
"0621-01-020","SUBURBS"
"0621-01-021","SUBURBS"
"0621-01-025","SUBURBS"
"0621-01-026","SUBURBS"
"0621-01-029","SUBURBS"
"0621-01-030","SUBURBS"
"0621-01-033","SUBURBS"
"0621-01-034","SUBURBS"
"0621-01-035","SUBURBS"
"0621-01-036","SUBURBS"
"0621-01-037","SUBURBS"
"0621-01-625","SUBURBS"
"0621-01-626","SUBURBS"
"0621-01-629","SUBURBS"
"0621-01-630","SUBURBS"
"0621-01-631","SUBURBS"
"0621-01-632","SUBURBS"
"0621-01-633","SUBURBS"
"0621-01-634","SUBURBS"
"0621-01-635","SUBURBS"
"0621-01-636","SUBURBS"
"0622-01-002","SUBURBS"
"0622-01-003","SUBURBS"
"0622-01-004","SUBURBS"
"0622-01-005","SUBURBS"
"0622-01-008","SUBURBS"
"0622-01-014","SUBURBS"
"0622-01-015","SUBURBS"
"0622-01-016","SUBURBS"
"0622-01-017","SUBURBS"
"0622-01-021","SUBURBS"
"0622-01-025","SUBURBS"
"0622-01-026","SUBURBS"
"0622-01-027","SUBURBS"
"0622-01-028","SUBURBS"
"0622-01-029","SUBURBS"
"0622-01-030","SUBURBS"
"0622-01-031","SUBURBS"
"0622-01-033","SUBURBS"
"0622-01-034","SUBURBS"
"0622-01-035","SUBURBS"
"0622-01-036","SUBURBS"
"0622-01-037","SUBURBS"
"0622-01-038","SUBURBS"
"0623-01-073","SUBURBS"
"0623-01-505","SUBURBS"
"0623-01-525","SUBURBS"
"0623-01-721","SUBURBS"
"0623-01-722","SUBURBS"
"0623-01-723","SUBURBS"
"0623-01-724","SUBURBS"
"0623-01-728","SUBURBS"
"0623-01-730","SUBURBS"
"0623-01-731","SUBURBS"
"0624-01-824","SUBURBS"
"0624-01-826","SUBURBS"
"0624-01-827","SUBURBS"
"0624-01-828","SUBURBS"
"0624-01-829","SUBURBS"
"0624-01-830","SUBURBS"
"0624-01-831","SUBURBS"
"0624-01-832","SUBURBS"
"0624-01-833","SUBURBS"
"0624-01-834","SUBURBS"
"0624-01-835","SUBURBS"
"0624-01-836","SUBURBS"
"0624-01-840","SUBURBS"
"0625-01-050","CORE CITIES"
"0625-01-070","CORE CITIES"
"0625-01-074","CORE CITIES"
"0625-01-090","CORE CITIES"
"0625-01-150","CORE CITIES"
"0625-01-410","CORE CITIES"
"0625-01-413","CORE CITIES"
"0625-01-415","CORE CITIES"
"0625-01-422","CORE CITIES"
"0625-01-424","CORE CITIES"
"0625-01-425","CORE CITIES"
"0625-01-428","CORE CITIES"
"0625-01-431","CORE CITIES"
"0625-01-433","CORE CITIES"
"0625-01-435","CORE CITIES"
"0625-01-438","CORE CITIES"
"0625-01-449","CORE CITIES"
"0625-01-452","CORE CITIES"
"0625-01-458","CORE CITIES"
"0625-01-460","CORE CITIES"
"0625-01-461","CORE CITIES"
"0625-01-462","CORE CITIES"
"0625-01-463","CORE CITIES"
"0625-01-464","CORE CITIES"
"0625-01-465","CORE CITIES"
"0625-01-466","CORE CITIES"
"0625-01-467","CORE CITIES"
"0625-01-476","CORE CITIES"
"0625-01-482","CORE CITIES"
"0625-01-483","CORE CITIES"
"0625-01-488","CORE CITIES"
"0625-01-489","CORE CITIES"
"0625-01-491","CORE CITIES"
"0625-01-493","CORE CITIES"
"0625-01-494","CORE CITIES"
"0625-01-496","CORE CITIES"
"0625-01-497","CORE CITIES"
"0625-01-500","CORE CITIES"
"0625-01-503","CORE CITIES"
"0625-01-507","CORE CITIES"
"0625-01-510","CORE CITIES"
"0625-01-512","CORE CITIES"
"0625-01-513","CORE CITIES"
"0625-01-518","CORE CITIES"
"0625-01-524","CORE CITIES"
"0625-01-527","CORE CITIES"
"0625-01-528","CORE CITIES"
"0625-01-530","CORE CITIES"
"0625-01-533","CORE CITIES"
"0625-01-534","CORE CITIES"
"0625-01-536","CORE CITIES"
"0625-01-538","CORE CITIES"
"0625-01-541","CORE CITIES"
"0625-01-542","CORE CITIES"
"0625-01-545","CORE CITIES"
"0625-01-551","CORE CITIES"
"0625-01-552","CORE CITIES"
"0625-01-554","CORE CITIES"
"0625-01-557","CORE CITIES"
"0625-01-558","CORE CITIES"
"0625-01-563","CORE CITIES"
"0625-01-570","CORE CITIES"
"0625-01-571","CORE CITIES"
"0625-01-578","CORE CITIES"
"0625-01-579","CORE CITIES"
"0625-01-581","CORE CITIES"
"0627-01-010",NA
"0628-01-010",NA
"0628-01-011",NA
"0630-01-010","OUT STATE"
"0631-01-001",NA
"0633-01-010","OUT STATE"
"0635-01-001","OUT STATE"
"0635-01-008","OUT STATE"
"0636-01-001","OUT STATE"
"0637-01-002","OUT STATE"
"0638-01-001","OUT STATE"
"0640-01-010","OUT STATE"
"0640-01-030","OUT STATE"
"0640-01-040","OUT STATE"
"0641-01-010",NA
"0646-01-010","OUT STATE"
"0647-01-010","OUT STATE"
"0648-01-001","OUT STATE"
"0648-01-003","OUT STATE"
"0649-01-001","OUT STATE"
"0650-01-010","OUT STATE"
"0651-01-010","OUT STATE"
"0652-01-001","OUT STATE"
"0653-01-010","OUT STATE"
"0654-01-010","OUT STATE"
"0655-01-001","OUT STATE"
"0656-01-020","OUT STATE"
"0656-01-030","OUT STATE"
"0656-01-040","OUT STATE"
"0656-01-045","OUT STATE"
"0656-01-050","OUT STATE"
"0656-01-060","OUT STATE"
"0656-01-100","OUT STATE"
"0656-01-110","OUT STATE"
"0656-01-220","OUT STATE"
"0656-01-230","OUT STATE"
"0657-01-010","OUT STATE"
"0659-01-003","OUT STATE"
"0659-01-004","OUT STATE"
"0659-01-005","OUT STATE"
"0659-01-007","OUT STATE"
"0659-01-008","OUT STATE"
"0659-01-010","OUT STATE"
"0659-01-040","OUT STATE"
"0659-01-050","OUT STATE"
"0669-01-010","OUT STATE"
"0670-01-002","OUT STATE"
"0671-01-010","OUT STATE"
"0676-01-010","OUT STATE"
"0678-01-010","OUT STATE"
"0682-01-010","OUT STATE"
"0682-01-030","OUT STATE"
"0682-01-050","OUT STATE"
"0690-01-010","OUT STATE"
"0690-01-020","OUT STATE"
"0690-01-060","OUT STATE"
"0691-01-010","OUT STATE"
"0691-01-020","OUT STATE"
"0691-01-022","OUT STATE"
"0692-01-010","OUT STATE"
"0693-01-001","OUT STATE"
"0695-01-040","OUT STATE"
"0695-01-050","OUT STATE"
"0695-01-101","OUT STATE"
"0695-01-301","OUT STATE"
"0696-01-002","OUT STATE"
"0697-01-010","OUT STATE"
"0698-01-010","OUT STATE"
"0699-01-010","OUT STATE"
"0700-01-010","OUT STATE"
"0700-01-012","OUT STATE"
"0701-01-030","OUT STATE"
"0701-01-040","OUT STATE"
"0701-01-050","OUT STATE"
"0701-01-060","OUT STATE"
"0701-01-130","OUT STATE"
"0701-01-140","OUT STATE"
"0701-01-150","OUT STATE"
"0701-01-160","OUT STATE"
"0701-01-310","OUT STATE"
"0704-01-003","OUT STATE"
"0704-01-004","OUT STATE"
"0704-01-005","OUT STATE"
"0704-01-006","OUT STATE"
"0704-01-007","OUT STATE"
"0704-01-020","OUT STATE"
"0704-01-030","OUT STATE"
"0704-01-040","OUT STATE"
"0704-01-050","OUT STATE"
"0704-01-060","OUT STATE"
"0706-01-030","OUT STATE"
"0706-01-040","OUT STATE"
"0706-01-060","OUT STATE"
"0706-01-100","OUT STATE"
"0706-01-112","OUT STATE"
"0707-01-001","OUT STATE"
"0708-01-020","OUT STATE"
"0709-01-410","OUT STATE"
"0709-01-411","OUT STATE"
"0709-01-412","OUT STATE"
"0709-01-415","OUT STATE"
"0709-01-425","OUT STATE"
"0709-01-430","OUT STATE"
"0709-01-435","OUT STATE"
"0709-01-440","OUT STATE"
"0709-01-465","OUT STATE"
"0709-01-470","OUT STATE"
"0709-01-475","OUT STATE"
"0709-01-480","OUT STATE"
"0709-01-485","OUT STATE"
"0709-01-490","OUT STATE"
"0709-01-495","OUT STATE"
"0709-01-500","OUT STATE"
"0709-01-510","OUT STATE"
"0709-01-515","OUT STATE"
"0709-01-520","OUT STATE"
"0709-01-525","OUT STATE"
"0709-01-530","OUT STATE"
"0709-01-540","OUT STATE"
"0709-01-550","OUT STATE"
"0709-01-555","OUT STATE"
"0709-01-560","OUT STATE"
"0709-01-565","OUT STATE"
"0709-01-570","OUT STATE"
"0710-01-007","OUT STATE"
"0710-01-010","OUT STATE"
"0710-01-016","OUT STATE"
"0710-01-045","OUT STATE"
"0710-01-079","OUT STATE"
"0710-01-096","OUT STATE"
"0710-01-097","OUT STATE"
"0710-01-100","OUT STATE"
"0710-01-114","OUT STATE"
"0710-01-142","OUT STATE"
"0710-01-180","OUT STATE"
"0712-01-001","OUT STATE"
"0712-01-010","OUT STATE"
"0712-01-020","OUT STATE"
"0716-01-010","SUBURBS"
"0716-01-011","SUBURBS"
"0717-01-010","SUBURBS"
"0717-01-637","SUBURBS"
"0719-01-009","SUBURBS"
"0719-01-010","SUBURBS"
"0719-01-011","SUBURBS"
"0719-01-012","SUBURBS"
"0719-01-014","SUBURBS"
"0719-01-016","SUBURBS"
"0719-01-017","SUBURBS"
"0719-01-018","SUBURBS"
"0720-01-860","SUBURBS"
"0720-01-861","SUBURBS"
"0720-01-862","SUBURBS"
"0720-01-864","SUBURBS"
"0720-01-865","SUBURBS"
"0720-01-866","SUBURBS"
"0721-01-345","SUBURBS"
"0721-01-521","SUBURBS"
"0721-01-651","SUBURBS"
"0726-01-010","OUT STATE"
"0726-01-040","OUT STATE"
"0727-01-010","OUT STATE"
"0727-01-040","OUT STATE"
"0728-01-070","OUT STATE"
"0728-01-110","OUT STATE"
"0728-01-160","OUT STATE"
"0728-01-170","OUT STATE"
"0728-01-180","OUT STATE"
"0728-01-200","OUT STATE"
"0728-01-210","OUT STATE"
"0728-01-300","OUT STATE"
"0728-01-301","OUT STATE"
"0728-01-700","OUT STATE"
"0728-01-800","OUT STATE"
"0731-01-001","OUT STATE"
"0731-01-002","OUT STATE"
"0732-01-010","OUT STATE"
"0733-01-001","OUT STATE"
"0734-01-010","OUT STATE"
"0735-01-010","OUT STATE"
"0736-01-002","OUT STATE"
"0737-01-001","OUT STATE"
"0738-01-001","OUT STATE"
"0739-01-010","OUT STATE"
"0740-01-010","OUT STATE"
"0740-01-040","OUT STATE"
"0740-01-050","OUT STATE"
"0741-01-001","OUT STATE"
"0742-01-016","OUT STATE"
"0742-01-022","OUT STATE"
"0742-01-025","OUT STATE"
"0742-01-028","OUT STATE"
"0742-01-031","OUT STATE"
"0742-01-033","OUT STATE"
"0742-01-034","OUT STATE"
"0742-01-035","OUT STATE"
"0742-01-036","OUT STATE"
"0742-01-040","OUT STATE"
"0742-01-051","OUT STATE"
"0742-01-210","OUT STATE"
"0742-01-301","OUT STATE"
"0742-01-302","OUT STATE"
"0742-01-310","OUT STATE"
"0742-01-500","OUT STATE"
"0742-01-501","OUT STATE"
"0742-01-510","OUT STATE"
"0742-01-600","OUT STATE"
"0742-01-610","OUT STATE"
"0742-01-680","OUT STATE"
"0742-01-690","OUT STATE"
"0742-01-691","OUT STATE"
"0742-01-811","OUT STATE"
"0742-01-812","OUT STATE"
"0742-01-813","OUT STATE"
"0742-01-900","OUT STATE"
"0743-01-010","OUT STATE"
"0745-01-010","OUT STATE"
"0745-01-020","OUT STATE"
"0745-01-030","OUT STATE"
"0748-01-010","OUT STATE"
"0748-01-030","OUT STATE"
"0748-01-040","OUT STATE"
"0748-01-060","OUT STATE"
"0750-01-010","OUT STATE"
"0750-01-020","OUT STATE"
"0750-01-030","OUT STATE"
"0756-01-010","OUT STATE"
"0761-01-040","OUT STATE"
"0761-01-050","OUT STATE"
"0761-01-060","OUT STATE"
"0761-01-070","OUT STATE"
"0761-01-080","OUT STATE"
"0761-01-901","OUT STATE"
"0761-01-902","OUT STATE"
"0761-01-903","OUT STATE"
"0761-01-904","OUT STATE"
"0761-01-905","OUT STATE"
"0761-01-906","OUT STATE"
"0762-01-010","OUT STATE"
"0763-01-010","OUT STATE"
"0768-01-010","OUT STATE"
"0769-01-030",NA
"0771-01-003","OUT STATE"
"0775-01-010","OUT STATE"
"0775-01-020","OUT STATE"
"0775-01-030","OUT STATE"
"0777-01-103","OUT STATE"
"0777-01-104","OUT STATE"
"0784-01-010","OUT STATE"
"0786-01-010","OUT STATE"
"0787-01-010","OUT STATE"
"0789-01-010","OUT STATE"
"0790-01-010","OUT STATE"
"0791-01-010","OUT STATE"
"0792-01-010","OUT STATE"
"0793-01-020","OUT STATE"
"0793-01-030","OUT STATE"
"0801-01-010","OUT STATE"
"0803-01-001","OUT STATE"
"0806-01-010",NA
"0809-01-010","OUT STATE"
"0810-01-010",NA
"0811-01-020","OUT STATE"
"0811-01-030","OUT STATE"
"0813-01-010","OUT STATE"
"0818-01-010","OUT STATE"
"0819-01-003","OUT STATE"
"0820-01-001","OUT STATE"
"0821-01-010","OUT STATE"
"0827-01-001","OUT STATE"
"0829-01-020","OUT STATE"
"0829-01-030","OUT STATE"
"0829-01-040","OUT STATE"
"0829-01-070","OUT STATE"
"0830-01-010","OUT STATE"
"0831-01-007","SUBURBS"
"0831-01-008","SUBURBS"
"0831-01-009","SUBURBS"
"0831-01-010","SUBURBS"
"0831-01-011","SUBURBS"
"0831-01-012","SUBURBS"
"0831-01-015","SUBURBS"
"0831-01-625","SUBURBS"
"0831-01-626","SUBURBS"
"0831-01-627","SUBURBS"
"0831-01-628","SUBURBS"
"0831-01-629","SUBURBS"
"0831-01-630","SUBURBS"
"0831-01-631","SUBURBS"
"0831-01-633","SUBURBS"
"0832-01-010","SUBURBS"
"0832-01-020","SUBURBS"
"0833-01-010","SUBURBS"
"0833-01-020","SUBURBS"
"0833-01-030","SUBURBS"
"0833-01-031","SUBURBS"
"0833-01-032","SUBURBS"
"0833-01-034","SUBURBS"
"0833-01-036","SUBURBS"
"0833-01-037","SUBURBS"
"0833-01-038","SUBURBS"
"0833-01-040","SUBURBS"
"0833-01-041","SUBURBS"
"0833-01-042","SUBURBS"
"0833-01-043","SUBURBS"
"0833-01-044","SUBURBS"
"0833-01-045","SUBURBS"
"0833-01-046","SUBURBS"
"0833-01-047","SUBURBS"
"0833-01-050","SUBURBS"
"0833-01-060","SUBURBS"
"0833-01-070","SUBURBS"
"0833-01-075","SUBURBS"
"0833-01-080","SUBURBS"
"0833-01-130","SUBURBS"
"0834-01-785","SUBURBS"
"0834-01-786","SUBURBS"
"0834-01-787","SUBURBS"
"0834-01-788","SUBURBS"
"0834-01-789","SUBURBS"
"0834-01-790","SUBURBS"
"0834-01-791","SUBURBS"
"0834-01-792","SUBURBS"
"0834-01-793","SUBURBS"
"0834-01-797","SUBURBS"
"0834-01-798","SUBURBS"
"0834-01-804","SUBURBS"
"0836-01-010","OUT STATE"
"0837-01-010","OUT STATE"
"0840-01-020","OUT STATE"
"0840-01-021","OUT STATE"
"0840-01-025","OUT STATE"
"0846-01-010","OUT STATE"
"0850-01-010","OUT STATE"
"0852-01-010","OUT STATE"
"0857-01-010","OUT STATE"
"0857-01-020","OUT STATE"
"0858-01-002","OUT STATE"
"0861-01-001","OUT STATE"
"0861-01-002","OUT STATE"
"0861-01-003","OUT STATE"
"0861-01-004","OUT STATE"
"0861-01-005","OUT STATE"
"0861-01-011","OUT STATE"
"0861-01-012","OUT STATE"
"0861-01-013","OUT STATE"
"0861-01-014","OUT STATE"
"0861-01-015","OUT STATE"
"0861-01-016","OUT STATE"
"0861-01-017","OUT STATE"
"0861-01-018","OUT STATE"
"0861-01-020","OUT STATE"
"0876-01-001","OUT STATE"
"0877-01-010","OUT STATE"
"0877-01-020","OUT STATE"
"0877-01-050","OUT STATE"
"0877-01-060","OUT STATE"
"0877-01-065","OUT STATE"
"0877-01-070","OUT STATE"
"0879-01-010","OUT STATE"
"0880-01-004","OUT STATE"
"0881-01-010","OUT STATE"
"0882-01-010","OUT STATE"
"0882-01-050","OUT STATE"
"0882-01-060","OUT STATE"
"0882-01-061","OUT STATE"
"0883-01-002","OUT STATE"
"0883-01-003","OUT STATE"
"0885-01-010","OUT STATE"
"0885-01-040","OUT STATE"
"0885-01-060","OUT STATE"
"0885-01-070","OUT STATE"
"0891-01-020","OUT STATE"
"0892-01-010","OUT STATE"
"0893-01-001","OUT STATE"
"0894-01-010","OUT STATE"
"0911-01-101","OUT STATE"
"0911-01-102","OUT STATE"
"0911-01-103","OUT STATE"
"0911-01-110","OUT STATE"
"0911-01-120","OUT STATE"
"0911-01-130","OUT STATE"
"0911-01-201","OUT STATE"
"0911-01-202","OUT STATE"
"0912-01-010","OUT STATE"
"0912-01-020","OUT STATE"
"0913-01-002","OUT STATE"
"0914-01-001","OUT STATE"
"0916-06-028","SUBURBS"
"0918-01-010","OUT STATE"
"2071-01-010","OUT STATE"
"2071-01-015","OUT STATE"
"2071-01-020","OUT STATE"
"2125-01-001","OUT STATE"
"2125-01-002","OUT STATE"
"2125-01-010","OUT STATE"
"2125-01-015","OUT STATE"
"2134-01-010","OUT STATE"
"2134-01-030","OUT STATE"
"2135-01-010","OUT STATE"
"2135-01-025","OUT STATE"
"2135-01-035","OUT STATE"
"2137-01-015","OUT STATE"
"2142-01-010","OUT STATE"
"2142-01-016","OUT STATE"
"2142-01-020","OUT STATE"
"2142-01-040","OUT STATE"
"2142-01-050","OUT STATE"
"2142-01-096","OUT STATE"
"2142-01-100","OUT STATE"
"2142-01-114","OUT STATE"
"2142-01-142","OUT STATE"
"2143-01-010","OUT STATE"
"2143-01-030","OUT STATE"
"2143-01-035","OUT STATE"
"2144-01-001","OUT STATE"
"2144-01-002","OUT STATE"
"2144-01-006","OUT STATE"
"2148-01-010","OUT STATE"
"2148-01-040","OUT STATE"
"2149-01-010","OUT STATE"
"2149-01-020","OUT STATE"
"2149-01-030","OUT STATE"
"2149-01-070","OUT STATE"
"2153-01-010","OUT STATE"
"2154-01-010","OUT STATE"
"2154-01-020","OUT STATE"
"2155-01-002","OUT STATE"
"2155-01-003","OUT STATE"
"2159-01-010","OUT STATE"
"2163-01-010","OUT STATE"
"2163-01-030","OUT STATE"
"2164-01-001","OUT STATE"
"2164-01-002","OUT STATE"
"2164-01-010","OUT STATE"
"2165-01-010","OUT STATE"
"2165-01-030","OUT STATE"
"2167-01-010","OUT STATE"
"2168-01-001","OUT STATE"
"2168-01-010","OUT STATE"
"2169-01-010","OUT STATE"
"2169-01-030","OUT STATE"
"2170-01-010","OUT STATE"
"2170-01-030","OUT STATE"
"2171-01-010","OUT STATE"
"2171-01-015","OUT STATE"
"2171-01-025","OUT STATE"
"2172-01-010","OUT STATE"
"2172-01-030","OUT STATE"
"2174-01-010","OUT STATE"
"2174-01-015","OUT STATE"
"2176-01-010","OUT STATE"
"2176-01-030","OUT STATE"
"2180-01-002","OUT STATE"
"2180-01-010","OUT STATE"
"2183-01-010","OUT STATE"
"2183-01-011","OUT STATE"
"2184-01-002","OUT STATE"
"2190-01-001","OUT STATE"
"2190-01-010","OUT STATE"
"2190-01-011","OUT STATE"
"2190-01-021","OUT STATE"
"2198-01-010","OUT STATE"
"2215-01-010","OUT STATE"
"2310-01-001","OUT STATE"
"2310-01-010","OUT STATE"
"2311-01-010","OUT STATE"
"2311-01-015","OUT STATE"
"2342-01-001","OUT STATE"
"2342-01-002","OUT STATE"
"2342-01-004","OUT STATE"
"2358-01-010","OUT STATE"
"2359-01-010","OUT STATE"
"2364-01-001","OUT STATE"
"2365-01-001","OUT STATE"
"2396-01-100","OUT STATE"
"2396-01-150","OUT STATE"
"2396-01-200","OUT STATE"
"2397-01-010","OUT STATE"
"2397-01-015","OUT STATE"
"2448-01-010","OUT STATE"
"2448-01-015","OUT STATE"
"2448-01-018","OUT STATE"
"2527-01-001","OUT STATE"
"2534-01-010","OUT STATE"
"2534-01-015","OUT STATE"
"2536-01-010","OUT STATE"
"2536-01-015","OUT STATE"
"2580-01-010","OUT STATE"
"2580-01-015","OUT STATE"
"2609-01-010","OUT STATE"
"2609-01-015","OUT STATE"
"2683-01-010","OUT STATE"
"2683-01-011","OUT STATE"
"2687-01-001","OUT STATE"
"2687-01-003","OUT STATE"
"2687-01-004","OUT STATE"
"2689-01-002","OUT STATE"
"2689-01-003","OUT STATE"
"2689-01-004","OUT STATE"
"2689-01-006","OUT STATE"
"2711-01-001","OUT STATE"
"2711-01-003","OUT STATE"
"2711-01-010","OUT STATE"
"2752-01-020","OUT STATE"
"2752-01-040","OUT STATE"
"2752-01-050","OUT STATE"
"2753-01-010","OUT STATE"
"2753-01-015","OUT STATE"
"2754-01-001","OUT STATE"
"2754-01-010","OUT STATE"
"2758-01-002",NA
"2759-01-010","OUT STATE"
"2769-01-030","OUT STATE"
"2805-01-001","OUT STATE"
"2805-01-010","OUT STATE"
"2805-01-030","OUT STATE"
"2835-01-001","OUT STATE"
"2835-01-002","OUT STATE"
"2835-01-010","OUT STATE"
"2853-01-010","OUT STATE"
"2853-01-020","OUT STATE"
"2853-01-030","OUT STATE"
"2854-01-010","OUT STATE"
"2854-01-020","OUT STATE"
"2856-01-010","OUT STATE"
"2856-01-020","OUT STATE"
"2859-01-010","OUT STATE"
"2859-01-020","OUT STATE"
"2859-01-030","OUT STATE"
"2859-01-050","OUT STATE"
"2860-01-010","OUT STATE"
"2860-01-040","OUT STATE"
"2862-01-010",NA
"2862-01-112",NA
"2884-01-030","OUT STATE"
"2886-01-100","OUT STATE"
"2886-01-101","OUT STATE"
"2887-01-010",NA
"2887-01-100",NA
"2888-01-001","OUT STATE"
"2888-01-002","OUT STATE"
"2888-01-004","OUT STATE"
"2888-01-006","OUT STATE"
"2889-01-010","OUT STATE"
"2890-01-001","OUT STATE"
"2890-01-003","OUT STATE"
"2895-01-010","OUT STATE"
"2895-01-112","OUT STATE"
"2897-01-002","OUT STATE"
"2898-01-010","OUT STATE"
"2898-01-015","OUT STATE"
"2899-01-010","OUT STATE"
"2899-01-020","OUT STATE"
"2902-01-100","OUT STATE"
"2903-01-010","OUT STATE"
"2904-01-002","OUT STATE"
"2905-01-010","OUT STATE"
"2905-01-030","OUT STATE"
"2905-01-040","OUT STATE"
"2906-01-010","OUT STATE"
"2906-01-011","OUT STATE"
"2907-01-010","OUT STATE"
"2908-01-001","OUT STATE"
"2908-01-002","OUT STATE"
"4001-07-010","OUT STATE"
"4004-07-010","CORE CITIES"
"4005-07-010","CORE CITIES"
"4007-07-020","OUT STATE"
"4008-07-010","SUBURBS"
"4010-07-010","OUT STATE"
"4011-07-010","SUBURBS"
"4012-07-010",NA
"4014-07-020",NA
"4015-07-010","CORE CITIES"
"4016-07-010","SUBURBS"
"4017-07-010","CORE CITIES"
"4017-07-017","CORE CITIES"
"4017-07-021","CORE CITIES"
"4018-07-010","CORE CITIES"
"4019-07-010",NA
"4020-07-010","OUT STATE"
"4020-07-020","OUT STATE"
"4020-07-040","OUT STATE"
"4021-07-010",NA
"4022-07-010",NA
"4023-07-010",NA
"4025-07-010","CORE CITIES"
"4027-07-010","CORE CITIES"
"4029-07-010","CORE CITIES"
"4030-07-010","SUBURBS"
"4032-07-010","CORE CITIES"
"4035-07-010","CORE CITIES"
"4038-07-010","CORE CITIES"
"4044-07-010",NA
"4050-07-010","OUT STATE"
"4050-07-020","OUT STATE"
"4051-07-010",NA
"4054-07-010","OUT STATE"
"4055-07-010","OUT STATE"
"4058-07-010","OUT STATE"
"4059-07-010","OUT STATE"
"4062-07-010",NA
"4062-07-020",NA
"4064-07-010","OUT STATE"
"4067-07-010","CORE CITIES"
"4068-07-010","SUBURBS"
"4070-07-010","CORE CITIES"
"4073-07-010","CORE CITIES"
"4077-07-010","CORE CITIES"
"4079-07-010","CORE CITIES"
"4083-07-010","OUT STATE"
"4084-07-010","OUT STATE"
"4086-07-010",NA
"4088-07-010","CORE CITIES"
"4089-07-010","CORE CITIES"
"4089-07-020","CORE CITIES"
"4090-07-010","SUBURBS"
"4097-07-010","SUBURBS"
"4097-07-020","SUBURBS"
